"X","Y","Org_Result"
-85.396778,37.072462,"GAS"
-85.367486,37.039711,"GAS"
-85.473182,37.115321,"GAS"
-85.140905,37.171748,"GAS"
-85.918698,37.03668,"GAS"
-85.961152,37.02839,"GAS"
-85.931963,37.025506,"GAS"
-83.69783,38.116252,"GAS"
-83.651391,38.154806,"GAS"
-83.624142,38.135503,"GAS"
-83.92399,36.597638,"GAS"
-83.922515,36.590171,"GAS"
-83.749934,36.662904,"GAS"
-83.743423,36.663728,"GAS"
-83.863178,36.702638,"GAS"
-83.830246,36.721776,"GAS"
-83.82882,36.723838,"GAS"
-83.826514,36.729828,"GAS"
-83.831457,36.72578,"GAS"
-83.830219,36.716408,"GAS"
-83.730946,36.688827,"GAS"
-83.729173,36.669304,"GAS"
-83.736489,36.666749,"GAS"
-83.734697,36.673918,"GAS"
-83.574088,36.738225,"GAS"
-83.545855,36.685478,"GAS"
-83.538268,36.685696,"GAS"
-83.778894,36.795056,"GAS"
-83.622731,36.817714,"GAS"
-83.631796,36.815156,"GAS"
-83.620851,36.801871,"GAS"
-83.606575,36.806403,"GAS"
-83.60444,36.811311,"GAS"
-83.61086,36.810212,"GAS"
-83.605549,36.799811,"GAS"
-83.639998,36.852747,"GAS"
-83.554993,36.905658,"GAS"
-83.545726,36.884707,"GAS"
-83.522651,36.885531,"GAS"
-83.554102,36.873918,"GAS"
-83.578549,36.86538,"GAS"
-83.547095,36.864607,"GAS"
-83.548888,36.86126,"GAS"
-83.544702,36.855768,"GAS"
-83.499587,36.91332,"GAS"
-83.553248,36.870924,"GAS"
-83.532476,36.930811,"GAS"
-83.538548,36.924581,"GAS"
-83.541277,36.921748,"GAS"
-82.688528,38.346705,"GAS"
-82.653546,38.405711,"GAS"
-83.133592,37.42113,"GAS"
-83.32474,37.582386,"GAS"
-83.346912,37.577264,"GAS"
-83.346912,37.577264,"GAS"
-83.343794,37.578617,"GAS"
-83.384961,37.566921,"GAS"
-83.387473,37.564195,"GAS"
-83.353109,37.650824,"GAS"
-83.362178,37.628665,"GAS"
-83.324736,37.626674,"GAS"
-83.324507,37.62321,"GAS"
-83.320792,37.616653,"GAS"
-86.589308,37.65703,"GAS"
-86.604748,37.638057,"GAS"
-86.553282,37.667216,"GAS"
-87.693828,37.11035,"GAS"
-87.925436,37.209389,"GAS"
-87.92784,37.208565,"GAS"
-87.930431,37.206092,"GAS"
-87.929916,37.206504,"GAS"
-87.91907,37.214058,"GAS"
-87.933677,37.206592,"GAS"
-87.93455,37.208152,"GAS"
-87.898112,37.20309,"GAS"
-87.89794,37.202129,"GAS"
-87.896925,37.206091,"GAS"
-87.872344,37.188326,"GAS"
-87.739854,37.178939,"GAS"
-82.950139,38.187672,"GAS"
-82.952063,38.178131,"GAS"
-83.226712,38.300275,"GAS"
-83.222257,38.302552,"GAS"
-83.233856,38.297529,"GAS"
-83.222535,38.267216,"GAS"
-83.221268,38.267434,"GAS"
-83.225324,38.259611,"GAS"
-83.240198,38.261393,"GAS"
-83.242562,38.260351,"GAS"
-83.234378,38.258017,"GAS"
-83.238035,38.260763,"GAS"
-82.840303,38.313921,"GAS"
-82.83531,38.305848,"GAS"
-82.837864,38.303021,"GAS"
-82.841636,38.313372,"GAS"
-82.847909,38.316255,"GAS"
-82.833394,38.289731,"GAS"
-82.850174,38.287178,"GAS"
-82.915796,38.280862,"GAS"
-82.913183,38.27894,"GAS"
-82.850932,38.282866,"GAS"
-82.852674,38.282866,"GAS"
-82.854876,38.27894,"GAS"
-82.847562,38.282235,"GAS"
-82.848493,38.278884,"GAS"
-82.844662,38.282042,"GAS"
-82.846517,38.279489,"GAS"
-82.830432,38.308648,"GAS"
-82.827006,38.308045,"GAS"
-82.829326,38.310351,"GAS"
-82.832175,38.310158,"GAS"
-82.843089,38.284981,"GAS"
-82.847976,38.339924,"GAS"
-82.847211,38.338467,"GAS"
-82.844422,38.33984,"GAS"
-82.848954,38.342174,"GAS"
-82.848842,38.341844,"GAS"
-82.83926,38.333608,"GAS"
-82.843961,38.335337,"GAS"
-82.850697,38.335393,"GAS"
-83.104889,38.462548,"GAS"
-84.856952,37.199456,"GAS"
-84.852197,37.199973,"GAS"
-84.865586,37.19659,"GAS"
-87.448012,37.05114,"GAS"
-87.399144,37.07094,"GAS"
-87.400445,37.052266,"GAS"
-87.334018,37.105673,"GAS"
-84.084818,37.867982,"GAS"
-84.095323,37.87688,"GAS"
-84.085239,37.87415,"GAS"
-84.064068,37.883471,"GAS"
-84.078202,37.871058,"GAS"
-84.070131,37.871198,"GAS"
-84.075019,37.87058,"GAS"
-84.07737,37.878058,"GAS"
-84.07326,37.88204,"GAS"
-84.071009,37.874367,"GAS"
-84.078138,37.863646,"GAS"
-84.068225,37.866255,"GAS"
-83.812677,37.153001,"GAS"
-83.829696,37.157828,"GAS"
-83.840029,37.212822,"GAS"
-83.770193,37.235895,"GAS"
-83.768561,37.23102,"GAS"
-83.797346,37.214724,"GAS"
-83.832655,37.209341,"GAS"
-83.782046,37.171034,"GAS"
-83.842191,37.279577,"GAS"
-83.671308,37.305356,"GAS"
-83.719244,37.26804,"GAS"
-83.723523,37.27216,"GAS"
-83.669158,37.264813,"GAS"
-83.668556,37.261174,"GAS"
-83.668556,37.261174,"GAS"
-83.672439,37.256729,"GAS"
-83.676633,37.26035,"GAS"
-83.672679,37.261174,"GAS"
-83.666838,37.257553,"GAS"
-83.698714,37.26298,"GAS"
-83.691236,37.262959,"GAS"
-83.687456,37.260762,"GAS"
-83.691926,37.260968,"GAS"
-83.698886,37.260714,"GAS"
-83.715296,37.264834,"GAS"
-83.708678,37.261998,"GAS"
-83.725276,37.26401,"GAS"
-83.727926,37.258517,"GAS"
-83.72002,37.264971,"GAS"
-83.727149,37.263646,"GAS"
-83.716756,37.260577,"GAS"
-83.736344,37.253248,"GAS"
-83.736687,37.252699,"GAS"
-83.735223,37.258153,"GAS"
-83.662197,37.316255,"GAS"
-83.657304,37.295146,"GAS"
-83.640464,37.267079,"GAS"
-83.616237,37.252233,"GAS"
-83.626462,37.259338,"GAS"
-83.624913,37.266255,"GAS"
-83.628832,37.258102,"GAS"
-83.631615,37.250481,"GAS"
-83.636683,37.264058,"GAS"
-83.636511,37.263371,"GAS"
-83.63591,37.257094,"GAS"
-83.644331,37.257965,"GAS"
-83.646135,37.263186,"GAS"
-83.649313,37.266255,"GAS"
-83.658867,37.257329,"GAS"
-83.651546,37.255905,"GAS"
-83.654295,37.258771,"GAS"
-83.662116,37.253248,"GAS"
-83.658764,37.263371,"GAS"
-83.664864,37.26401,"GAS"
-85.170782,36.665056,"GAS"
-85.172844,36.666553,"GAS"
-85.166708,36.650661,"GAS"
-85.18001,36.663467,"GAS"
-85.17148,36.658697,"GAS"
-85.170202,36.659178,"GAS"
-85.208615,36.652537,"GAS"
-85.21049,36.653086,"GAS"
-85.215133,36.657691,"GAS"
-85.216783,36.657433,"GAS"
-85.225452,36.658243,"GAS"
-85.223441,36.645367,"GAS"
-85.214751,36.643335,"GAS"
-85.186016,36.647483,"GAS"
-85.164761,36.656801,"GAS"
-85.161554,36.642378,"GAS"
-85.136696,36.64006,"GAS"
-85.139337,36.638343,"GAS"
-85.081077,36.662185,"GAS"
-85.081241,36.658905,"GAS"
-85.067001,36.62656,"GAS"
-85.077626,36.6299,"GAS"
-85.250983,36.712102,"GAS"
-85.259634,36.706381,"GAS"
-85.186684,36.739081,"GAS"
-85.194267,36.734899,"GAS"
-85.182011,36.701301,"GAS"
-85.233121,36.704733,"GAS"
-85.236745,36.712135,"GAS"
-85.243564,36.707735,"GAS"
-85.198469,36.685712,"GAS"
-85.189258,36.698966,"GAS"
-85.197016,36.670334,"GAS"
-85.214358,36.669286,"GAS"
-85.147544,36.710212,"GAS"
-85.137314,36.703271,"GAS"
-85.157118,36.701027,"GAS"
-85.145738,36.678939,"GAS"
-85.044737,36.697323,"GAS"
-85.048466,36.667793,"GAS"
-85.065917,36.679557,"GAS"
-85.192948,36.797204,"GAS"
-85.18248,36.783196,"GAS"
-85.467008,36.658982,"GAS"
-85.396591,36.659339,"GAS"
-85.392333,36.624242,"GAS"
-85.40641,36.625192,"GAS"
-85.45682,36.695254,"GAS"
-85.423791,36.667278,"GAS"
-85.392698,36.702295,"GAS"
-85.30286,36.723596,"GAS"
-85.308065,36.724681,"GAS"
-85.284768,36.718296,"GAS"
-85.452975,36.9123,"GAS"
-85.327056,36.885738,"GAS"
-85.278125,36.881968,"GAS"
-87.036615,37.656564,"GAS"
-87.146093,37.719633,"GAS"
-86.829965,37.667216,"GAS"
-86.097405,37.117401,"GAS"
-86.33338,37.196806,"GAS"
-86.392241,37.320067,"GAS"
-86.390897,37.316365,"GAS"
-83.129999,38.038774,"GAS"
-83.04503,38.058789,"GAS"
